Name,Website ,Met!,Deadlines,Met / contact,Priority,,,,
Tortoise Media,https://www.tortoisemedia.com/listen/,Tortoise Media,,,,,,,
Nourhan ,,,,,,,,,
Pinchunk Fund,https://pinchukfund.org/en/,,,,,,,,
Clinton Global Iniative,https://en.wikipedia.org/wiki/Clinton_Foundation#Clinton_Global_Initiative_(CGI)_and_CGI_U,,,,,,,,
Beacon Investor Collective,https://www.founderland.org/beacon,,,,Focus on POC woman founder,,,,
Auxxo,https://auxxo.de/,,,,,,,,
Encourage Ventures,https://encourage-ventures.com/en/,,,,,,,,
Fund F,https://fund-f.com/,,,,,,,,
Female Founders Fund,https://femalefoundersfund.com/,,,,,,,,
Grace Accelerator,https://www.grace-accelerator.de/home.html,,,,Consider for 2025,,,,
Bumble Fund,https://thebeehive.bumble.com/bumble-fund,,,,Need to create Bumble BIZ profile,,,,
European Women in VC,https://www.europeanwomenvc.org/,,,,,,,,
Oxfam,https://www.oxfam.de/unsere-arbeit/laender/deutschland,,,,Might be seen as politically risky but they do fund media projects in EU,,,,
Open Society Foundation,https://www.opensocietyfoundations.org/who-we-are/offices-foundations,,,,Have office in Berlin,,,,
Journalism Fund EU,https://www.journalismfund.eu/,,,,Medium priority,,,,
Gulbenkian EU Media and Information Fund,https://gulbenkian.pt/emifund/,,Funding from Google,,,,,,
Podimo,https://podimo.com/de/blog,,,,Recently recieved 44 million euro investment,,,,
L'Oreal Foundation,https://www.loreal.com/en/news/commitments/loreal-fund-for-women/,,Open currently,,potential high priority since VERYmuch in line and also supports SINGA,,,,
Aga Kahn Foundation,https://the.akdn/en/how-we-work/our-agencies/aga-khan-foundation,,,,,,,,
We Are the Meteor,https://wearethemeteor.com/about/the-collective/,,,,,,,,
Dianne Von Furstenberg,https://dvfff.org/,,,,,,,,
The Supporting Act Foundation,https://www.thesupportingact.org/,,,,Perhaps for 2025 ,,,,
L'a fayette foundation France,https://www.lafayetteanticipations.com/en,,,,,,,,
